SYMBOL,dataset_corr_count
ATP8B3,1
ATP8B4,2
ATP9A,3
ATP9B,4
ATPAF1,2
ATPAF2,1
ATPSCKMT,5
ATR,6
ATRAID,7
ATRIP,3
ATRIP-TREX1,6
ATRN,4
ATRNL1,2
ATRX,3
ATXN1,2
ATXN1-AS1,4
ATXN10,5
ATXN1L,6
ATXN2,3
ATXN2-AS,3
ATXN2L,7
ATXN3,5
ATXN7,6
ATXN7L1,3
ATXN7L2,7
ATXN7L3,6
ATXN7L3B,6
ATXN8OS,1
AUH,6
AUNIP,2
AURKA,2
AURKAIP1,6
AURKB,4
AUTS2,2
AVEN,5
AVIL,1
AVL9,6
AVPI1,3
AVPR1A,1
AWAT2,1
AXDND1,8
AXIN1,4
AXIN2,1
AXL,3
AZGP1,1
AZI2,1
AZIN1,3
AZIN1-AS1,4
AZIN2,6
B2M,4
B3GALNT1,3
B3GALNT2,6
B3GALT5,1
B3GALT6,5
B3GAT1,1
B3GAT3,4
B3GLCT,7
B3GNT10,5
B3GNT2,4
B3GNT5,4
B3GNT7,1
B3GNT9,4
B3GNTL1,2
B4GALNT1,1
B4GALNT2,1
B4GALNT3,2
B4GALNT4,4
B4GALT1-AS1,5
B4GALT2,2
B4GALT3,5
B4GALT4,4
B4GALT5,5
B4GALT6,1
B4GALT7,4
B9D1,6
BAALC,1
BAALC-AS1,1
BAAT,1
BABAM2,6
BACE1,1
BACE2,1
BACH1,5
BACH1-IT3,1
BACH2,3
BAD,2
BAG3,7
BAG4,3
BAG6,4
BAGE2,1
BAHCC1,3
BAIAP2,2
BAIAP2-DT,2
BAIAP2L1,3
BAIAP2L2,1
BAIAP3,1
BAK1,4
BAMBI,2
BANF1,1
BANF2,1
BANK1,2
BANP,6
BAP1,6
BARD1,3
BARHL2,1
BARX2,2
BASP1,4
BASP1-AS1,1
BATF,1
BATF3,2
BAX,5
BAZ1A,6
BAZ1B,6
BAZ2A,6
BAZ2B,8
BBC3,3
BBIP1,7
BBOF1,7
BBOX1-AS1,1
BBS1,1
BBS10,4
BBS12,4
BBS2,5
BBS4,5
BBS5,2
BBS7,3
BBS9,4
BBX,4
BCAM,1
BCAN,3
BCAP29,5
BCAP31,2
BCAR1,5
BCAR3,4
BCAR4,1
BCAS1,1
BCAS2,5
BCAS3,3
BCAS4,1
BCAT1,2
BCAT2,2
BCCIP,4
BCDIN3D,4
BCDIN3D-AS1,2
BCKDHA,4
BCKDHB,4
BCKDK,5
BCL10,5
BCL11A,2
BCL11B,1
BCL2,2
BCL2A1,1
BCL2L1,7
BCL2L10,1
BCL2L11,4
BCL2L13,6
BCL2L14,2
BCL2L2,4
BCL2L2-PABPN1,4
BCL3,4
BCL6,4
BCL6B,1
BCL7A,3
BCL7B,7
BCL7C,4
BCL9,5
BCL9L,2
BCLAF1,6
BCLAF3,1
BCO1,2
BCOR,4
BCORP1,1
BCR,2
BCS1L,4
BCYRN1,1
BDH1,3
BDKRB1,1
BDNF,2
BDNF-AS,4
BDP1,6
BEAN1,1
BEAN1-AS1,5
BECN2,1
BEGAIN,2
BEND3,2
BEND3P3,1
BEND4,2
BEND5,1
BEND7,2
BEST1,1
BEST3,1
BEST4,1
BET1,4
BET1L,6
BEX2,1
BEX3,4
BEX4,3
BFAR,6
BFSP1,7
BFSP2,1
BGLAP,2
BGN,1
BHLHA15,2
BHLHA9,2
BHLHB9,1
BHLHE40,3
BHLHE40-AS1,4
BHLHE41,2
BHMG1,1
BHMT,2
BICC1,2
BICD1,5
BICD2,7
BICDL1,3
BICDL2,1
BICRA,6
BICRAL,6
BID,2
BIN1,3
BIN2,1
BIN3,4
BIRC2,7
BIRC3,2
BIRC5,3
BIRC6,5
BISPR,1
BIVM,3
BLCAP,6
BLK,1
BLM,1
BLMH,2
BLNK,1
BLOC1S1-RDH5,2
BLOC1S2,5
BLOC1S3,3
BLOC1S4,3
BLOC1S5,1
BLOC1S5-TXNDC5,4
BLOC1S6,7
BLVRA,2
BLVRB,1
BLZF1,5
BMERB1,2
BMF,4
BMI1,4
BMP1,3
BMP10,1
BMP15,1
BMP2,3
BMP2K,6
BMP4,1
BMP6,1
BMP7,1
BMP7-AS1,1
BMPER,2
BMPR1A,5
BMPR1B,4
BMPR1B-DT,2
BMPR2,4
BMS1,6
