SYMBOL,dataset_corr_count
ANKRD40,1
ANKRD42,3
ANKRD44,2
ANKRD44-IT1,1
ANKRD46,2
ANKRD49,1
ANKRD50,1
ANKRD52,2
ANKRD53,2
ANKRD55,2
ANKRD6,1
ANKRD62,1
ANKRD7,2
ANKRD9,1
ANKS1A,1
ANKS1B,1
ANKS3,1
ANKS6,3
ANKUB1,1
ANKZF1,1
ANLN,2
ANO1,1
ANO10,1
ANO3,1
ANO4,1
ANO5,1
ANO6,2
ANO7,1
ANOS1,1
ANP32A,1
ANP32B,1
ANP32D,1
ANP32E,1
ANPEP,2
ANTXR1,1
ANTXR2,2
ANTXRL,1
ANXA1,3
ANXA10,1
ANXA11,1
ANXA13,1
ANXA2,2
ANXA2P2,1
ANXA2R,1
ANXA3,1
ANXA4,2
ANXA5,1
ANXA6,2
ANXA7,2
ANXA8,2
AOAH,2
AOPEP,2
AOX1,1
AOX3P-AOX2P,2
AP1AR,2
AP1B1,3
AP1B1P1,2
AP1G1,2
AP1M1,2
AP1M2,1
AP1S2,2
AP1S3,1
AP2A1,2
AP2A2,2
AP2B1,1
AP2M1,2
AP2S1,1
AP3B1,1
AP3D1,3
AP3M2,2
AP3S1,1
AP3S2,1
AP4B1,3
AP4B1-AS1,1
AP4E1,2
AP4M1,1
AP4S1,1
AP5B1,2
AP5M1,2
AP5S1,2
APBA1,2
APBA2,1
APBB1,1
APBB2,2
APBB3,1
APC,1
APCDD1,1
APCDD1L,2
APCDD1L-DT,1
APCS,2
APEH,2
APEX2,3
APH1B,2
API5,1
APIP,2
APLF,2
APLN,1
APLP2,1
APOBEC3B,1
APOBEC3D,2
APOBEC3F,1
APOBEC3G,1
APOBEC4,1
APOD,1
APOH,1
APOL2,1
APOL3,1
APOL4,2
APOL6,1
APOLD1,2
APOM,1
APOO,1
APOOL,1
APOOP5,1
APP,2
APPBP2,1
APPL1,2
APPL2,2
APRT,1
APTR,1
APTX,2
AQP11,1
AQP2,1
AQP3,1
AQP4-AS1,1
AQP5,1
AQP7,1
AQP8,1
AQR,1
AR,1
ARAF,2
ARAP1,2
ARAP3,2
AREG,2
AREL1,1
ARF1,1
ARF3,1
ARF4,1
ARF4-AS1,1
ARF6,1
ARFGAP2,2
ARFGAP3,2
ARFGEF2,2
ARFGEF3,1
ARFIP1,1
ARFIP2,1
ARFRP1,2
ARG2,2
ARHGAP1,1
ARHGAP10,1
ARHGAP12,2
ARHGAP15,2
ARHGAP17,2
ARHGAP18,2
ARHGAP19,1
ARHGAP20,1
ARHGAP21,3
ARHGAP22,2
ARHGAP23,3
ARHGAP24,1
ARHGAP25,1
ARHGAP26,2
ARHGAP26-AS1,2
ARHGAP27,2
ARHGAP27P1-BPTFP1-KPNA2P3,2
ARHGAP27P2,1
ARHGAP28,1
ARHGAP29,1
ARHGAP31,1
ARHGAP31-AS1,2
ARHGAP32,1
ARHGAP33,1
ARHGAP35,1
ARHGAP39,1
ARHGAP40,1
ARHGAP42,2
ARHGAP44,2
ARHGAP45,1
ARHGAP5,1
ARHGAP6,1
ARHGAP8,2
ARHGDIA,1
ARHGDIB,1
ARHGEF1,1
ARHGEF10,2
ARHGEF10L,1
ARHGEF11,1
ARHGEF12,1
ARHGEF15,1
ARHGEF16,1
ARHGEF17,1
ARHGEF18,2
ARHGEF19,1
ARHGEF2,2
ARHGEF25,3
ARHGEF26,1
ARHGEF26-AS1,1
ARHGEF28,4
ARHGEF3,2
ARHGEF33,1
ARHGEF37,2
ARHGEF38-IT1,1
ARHGEF39,1
ARHGEF4,2
ARHGEF40,3
ARHGEF6,1
ARHGEF7,2
ARHGEF7-AS2,1
ARHGEF9,1
ARID1A,2
ARID1B,1
ARID2,2
ARID3A,2
ARID3B,2
ARID4A,1
ARID4B,3
ARID5A,1
ARID5B,2
ARIH2,1
